time,ax,ay,az,atotal
4.479,0.48,0.27,-0.28,0.62
4.489,0.43,-0.13,0.06,0.45
4.499,0.30,-0.44,0.44,0.69
4.509,0.31,-0.46,0.74,0.93
4.519,0.38,-0.29,0.75,0.89
4.529,0.56,0.02,0.58,0.80
4.539,0.54,0.25,0.73,0.94
4.549,0.16,0.30,1.09,1.14
4.560,-0.15,0.46,1.22,1.31
4.569,-0.42,0.58,1.21,1.41
4.579,-0.72,0.55,1.04,1.38
4.589,-0.74,0.39,0.66,1.06
4.599,-0.43,0.06,0.22,0.49
4.609,-0.00,-0.24,0.03,0.24
4.619,0.40,-0.46,0.08,0.61
4.629,0.49,-0.67,0.19,0.85
4.639,0.47,-0.90,0.25,1.05
4.649,0.75,-1.16,-0.10,1.38
4.659,0.98,-1.51,-0.27,1.82
4.669,0.96,-1.66,0.20,1.93
4.679,0.98,-1.50,0.62,1.90
4.689,0.98,-1.20,0.65,1.68
4.699,0.96,-0.97,0.66,1.52
4.710,0.84,-0.91,0.85,1.50
4.719,0.67,-1.36,1.13,1.89
4.730,0.60,-1.51,1.39,2.13
4.740,0.49,-1.53,1.32,2.08
4.749,0.13,-1.75,1.02,2.03
4.760,-0.27,-2.04,0.90,2.25
4.769,-0.77,-2.38,1.74,3.04
4.780,-1.22,-2.97,2.54,4.09
4.790,-1.03,-3.68,2.66,4.66
4.800,-0.21,-4.13,3.14,5.19
4.810,0.33,-4.87,3.74,6.15
4.820,-0.15,-5.74,5.02,7.63
4.830,-0.55,-5.21,6.86,8.63
4.840,0.41,-6.24,6.32,8.89
4.850,1.21,-7.06,7.08,10.07
4.860,1.52,-8.04,9.68,12.67
4.870,1.19,-10.63,13.74,17.42
4.880,0.04,-15.52,18.42,24.09
4.890,0.45,-15.34,7.65,17.15
4.900,-0.82,-7.99,-6.36,10.24
4.910,-3.25,-5.23,-3.98,7.34
4.920,-7.20,-7.53,9.67,14.21
4.930,-11.35,-8.81,22.24,26.48
4.940,-11.54,-8.84,11.73,18.68
4.950,-12.01,-9.46,14.99,21.41
4.960,-7.70,-5.62,15.37,18.09
4.970,-3.97,-2.26,16.35,16.98
4.980,-1.43,-0.98,16.74,16.83
4.990,-0.30,0.03,14.75,14.76
5.000,-1.18,0.68,14.18,14.25
5.010,-2.05,0.65,12.57,12.75
5.020,-2.43,0.88,10.30,10.62
5.030,-3.08,0.89,9.50,10.02
5.040,-3.26,0.90,9.19,9.79
5.050,-2.99,1.04,8.13,8.73
5.060,-2.44,0.66,8.76,9.12
5.070,-1.73,0.14,8.15,8.33
5.080,-1.10,0.02,5.86,5.96
5.090,-0.73,-0.49,5.18,5.25
5.100,-0.38,-1.24,4.30,4.49
5.110,-0.10,-1.98,3.20,3.77
5.120,0.29,-2.73,2.21,3.52
5.130,0.80,-3.58,1.91,4.14
5.140,1.45,-4.61,1.02,4.94
5.150,1.61,-5.74,-1.15,6.07
5.160,1.23,-7.24,-1.55,7.51
5.170,0.66,-8.92,-2.30,9.23
5.180,0.11,-9.56,-7.05,11.88
5.190,0.93,-9.61,-7.79,12.41
5.201,0.93,-10.02,-7.05,12.29
5.211,-0.35,-9.96,-12.40,15.91
5.221,-0.93,-9.84,-15.12,18.06
5.231,-0.73,-10.64,-14.08,17.66
5.241,-0.40,-11.40,-15.62,19.35
5.251,-1.79,-11.19,-19.14,22.25
5.261,-3.84,-8.87,-22.07,24.10
5.270,-4.34,-4.78,-24.36,25.20
5.281,-3.80,-1.02,-26.05,26.34
5.291,-2.90,1.82,-27.56,27.77
5.301,-1.22,3.10,-28.51,28.71
5.311,2.51,2.56,-28.23,28.46
5.321,4.40,0.87,-25.66,26.05
5.331,1.96,-1.03,-20.88,21.00
5.341,-1.68,-3.17,-6.10,7.07
5.351,-3.44,-11.85,42.32,44.08
5.361,0.32,-10.17,-23.24,25.37
5.371,2.29,-6.32,-14.94,16.38
5.381,3.72,-6.18,3.60,8.06
5.391,4.13,-3.80,-10.14,11.59
5.401,5.48,-2.59,-5.76,8.36
